text,label
"me encantó este producto, funciona increíble",positive
"excelente calidad y llegó muy rápido",positive
"lo recomiendo totalmente, superó mis expectativas",positive
"muy buena atención al cliente, quedé feliz",positive
"el mejor servicio que he probado, volveré a comprar",positive
"cumple con todo lo que promete, genial",positive
"estoy muy satisfecho con la compra",positive
"funciona perfecto, sin ningún problema",positive
"gran experiencia, todo llegó a tiempo",positive
"producto de excelente calidad, lo amo",positive
"me encantó, superó mis expectativas totalmente",positive
"servicio rápido y muy profesional",positive
"la mejor decisión que pude tomar, encantada",positive
"todo perfecto, sin quejas",positive
"vale totalmente la pena el precio",positive
"excelente producto, lo recomiendo totalmente",positive
"muy contento con la compra, todo excelente",positive
"increíble atención, superó lo esperado",positive
"calidad excepcional, estoy encantado",positive
"llegó antes de lo previsto, excelente servicio",positive
"producto tal cual se describe, muy feliz",positive
"buena relación calidad precio, lo recomiendo",positive
"experiencia maravillosa de principio a fin",positive
"fácil de usar y muy útil, encantado",positive
"superó todas mis expectativas, gracias",positive
"empaque perfecto y producto de calidad",positive
"volvería a comprar sin duda, excelente",positive
"atención al cliente impecable, muy amables",positive
"todo llegó en perfecto estado, feliz con la compra",positive
"un producto excelente, totalmente recomendado",positive
"terrible experiencia, no lo recomiendo para nada",negative
"el producto llegó roto y dañado",negative
"pésima atención al cliente, muy grosero",negative
"no funciona como se describe, una estafa",negative
"muy decepcionado con la calidad del producto",negative
"llegó tarde y en mal estado",negative
"no cumple con lo prometido, mal servicio",negative
"la peor compra que he hecho en mi vida",negative
"dejó de funcionar al segundo día",negative
"nunca más vuelvo a comprar aquí, horrible",negative
"un desastre total, no lo compren",negative
"servicio lento y de mala calidad",negative
"el peor producto que he recibido",negative
"no responden mis reclamos, muy mal",negative
"totalmente insatisfecho con la compra",negative
"pésimo servicio, el producto llegó roto",negative
"muy mala experiencia, no vale la pena",negative
"producto defectuoso desde el primer día",negative
"atención al cliente horrible, nunca responden",negative
"el peor servicio que he recibido en mi vida",negative
"no recomiendo esta tienda para nada",negative
"calidad muy pobre, no cumple lo prometido",negative
"me arrepiento totalmente de esta compra",negative
"producto de mala calidad, se rompió rápido",negative
"servicio deficiente y poco profesional",negative
"llegó incompleto y dañado, muy decepcionante",negative
"una completa pérdida de dinero",negative
"no funciona correctamente, totalmente decepcionado",negative
"experiencia horrible, jamás vuelvo a comprar aquí",negative
"el soporte técnico es pésimo, no ayudan en nada",negative
